chain_nr iter_nr ev_id lat lon depth time
0 0 19680929 35.766156 53.360473 10.0000 -39643903.0000
0 0 19690723 36.824944 52.258026 10.0000 -13986462.0000
0 0 19710425 33.234913 68.843809 10.0000 41398609.1000
0 0 19711129 53.845569 71.475652 10.0000 60242668.1437
0 0 19720328 52.018876 69.304763 10.0000 70604608.1296
0 0 19720816 20.394698 87.469478 10.0000 82783356.0000
1 0 19680929 28.660863 78.347292 10.0000 -39643936.2000
1 0 19690723 30.203295 46.926640 10.0000 -13986429.9000
1 0 19710425 38.414538 50.236062 10.0000 41398292.0000
1 0 19711129 38.616152 59.210731 10.0000 60242930.9000
1 0 19720328 36.244958 72.260833 10.0000 70604803.8000
1 0 19720816 53.075467 73.062468 10.0000 82783107.8741
2 0 19680929 35.503956 51.634214 10.0000 -39643903.0000
2 0 19690723 33.873966 80.184691 10.0000 -13986496.0000
2 0 19710425 53.542242 72.686341 10.0000 41398467.4925
2 0 19711129 60.238677 47.129851 10.0000 60242948.2000
2 0 19720328 32.443560 67.601110 10.0000 70604806.9000
2 0 19720816 34.387259 66.362718 10.0000 82783250.4000
3 0 19680929 30.290127 66.022616 10.0000 -39643934.8000
3 0 19690723 34.355474 57.906593 10.0000 -13986429.9000
3 0 19710425 34.488913 64.242752 10.0000 41398131.1000
3 0 19711129 53.702405 72.281479 10.0000 60242668.1437
3 0 19720328 53.880098 68.659130 10.0000 70604608.1296
3 0 19720816 33.021103 78.664110 10.0000 82783304.5000
0 10 19680929 35.189441 55.812934 17.6130 -39644204.6471
0 10 19690723 36.611864 51.556957 3.5561 -13986479.0815
0 10 19710425 33.843041 68.598897 33.8515 41398425.7809
0 10 19711129 54.345441 70.841427 4.4482 60243027.0011
0 10 19720328 52.103404 69.057392 5.1084 70604838.5276
0 10 19720816 20.161888 87.476165 4.7770 82782971.1971
1 10 19680929 28.692681 78.064564 0.7612 -39643974.6481
1 10 19690723 29.970068 47.149942 11.5408 -13986830.3233
1 10 19710425 38.326323 50.011884 22.5225 41398297.8473
1 10 19711129 38.569709 60.247720 27.1063 60243069.2490
1 10 19720328 36.619961 71.956354 23.4944 70604400.6609
1 10 19720816 52.987478 72.961172 4.4511 82782931.7818
2 10 19680929 35.568962 48.174502 9.5146 -39644140.8468
2 10 19690723 23.109287 83.471692 23.9420 -13986985.7300
2 10 19710425 53.687957 72.593734 34.0657 41398440.0749
2 10 19711129 60.098943 45.894293 31.2053 60242907.3386
2 10 19720328 32.789366 68.013423 10.4915 70604547.6293
2 10 19720816 35.766289 66.339860 30.6119 82783223.4467
3 10 19680929 30.807776 68.607318 2.9883 -39644216.1203
3 10 19690723 36.446560 62.770427 27.7180 -13986683.3552
3 10 19710425 36.346939 61.129284 20.0174 41398140.2748
3 10 19711129 54.253885 72.515724 12.4623 60242858.9676
3 10 19720328 54.299951 66.451901 5.1436 70604345.1676
3 10 19720816 33.127767 78.422386 18.2899 82783090.1275
0 20 19680929 39.740178 55.356330 24.3723 -39644148.1401
0 20 19690723 36.019296 53.663773 14.7984 -13986690.1684
0 20 19710425 33.893707 68.738827 0.1847 41398355.6283
0 20 19711129 54.300366 70.363928 30.4688 60243098.7668
0 20 19720328 51.865565 69.096585 13.1451 70604577.4796
0 20 19720816 19.420567 83.784387 29.0165 82782826.7363
1 20 19680929 28.983198 78.027795 11.4101 -39644194.5408
1 20 19690723 31.571421 49.860318 1.6597 -13986803.9898
1 20 19710425 39.757532 55.837308 19.7684 41398260.6647
1 20 19711129 39.175256 60.234623 24.2825 60243067.8252
1 20 19720328 36.611130 71.792199 24.5440 70604808.8261
1 20 19720816 53.036759 72.686339 7.7029 82783011.7775
2 20 19680929 35.371666 48.578777 12.6840 -39644245.9645
2 20 19690723 23.098820 83.724816 5.9483 -13986792.0206
2 20 19710425 53.650560 72.611431 30.5579 41398440.2582
2 20 19711129 60.120840 45.733499 8.7274 60243061.0937
2 20 19720328 32.880691 67.713997 33.5508 70604560.9888
2 20 19720816 36.643453 67.066972 11.1384 82782906.6900
3 20 19680929 32.957452 65.445918 16.6014 -39644438.0890
3 20 19690723 34.928208 59.476248 18.4325 -13986918.1352
3 20 19710425 36.618625 61.074322 30.2268 41398156.2331
3 20 19711129 54.012180 72.459972 6.0096 60242972.6941
3 20 19720328 52.584005 64.522390 12.0847 70604674.0290
3 20 19720816 32.634496 78.395034 13.4089 82782901.7704
0 30 19680929 40.154108 55.367845 2.6166 -39644219.4280
0 30 19690723 36.020848 54.325372 18.3786 -13986817.6523
0 30 19710425 33.996631 66.036170 13.1205 41398508.5713
0 30 19711129 54.434973 70.535120 31.1782 60243211.1095
0 30 19720328 51.814149 69.038340 22.9047 70604431.4000
0 30 19720816 19.224037 83.672979 26.4862 82782939.2088
1 30 19680929 28.813514 78.203859 6.7913 -39644329.9672
1 30 19690723 31.488130 47.634768 17.4694 -13986766.9663
1 30 19710425 39.745293 56.200441 7.5876 41398425.2782
1 30 19711129 37.919284 60.871969 26.7651 60242775.0088
1 30 19720328 36.118879 72.803504 6.3286 70604674.7438
1 30 19720816 53.586908 74.365719 11.6882 82783010.4319
2 30 19680929 34.966110 44.922912 7.0699 -39644035.3820
2 30 19690723 22.386754 91.778108 5.4632 -13986941.2231
2 30 19710425 53.636790 72.269020 34.6116 41398443.5679
2 30 19711129 60.128820 45.350335 5.7133 60243316.1919
2 30 19720328 32.500624 67.772971 7.9024 70604351.2425
2 30 19720816 36.225506 67.118427 32.6408 82782962.2716
3 30 19680929 29.038550 67.071258 11.2206 -39644169.5520
3 30 19690723 34.475536 59.642149 28.6066 -13986763.9417
3 30 19710425 36.244000 61.184902 2.9372 41398139.4425
3 30 19711129 54.285053 72.540757 33.8774 60242883.9305
3 30 19720328 52.681705 61.005355 33.5815 70604527.8468
3 30 19720816 32.627894 77.582049 5.3277 82783072.5569
0 40 19680929 37.344055 52.154138 15.4907 -39644074.1851
0 40 19690723 36.224813 54.410314 19.1955 -13986627.2867
0 40 19710425 34.153374 66.179894 23.7985 41398668.6858
0 40 19711129 54.691417 69.734001 19.2443 60243030.9833
0 40 19720328 51.686159 69.001735 13.1078 70604598.1499
0 40 19720816 15.622005 81.968303 33.4145 82782942.5953
1 40 19680929 28.777747 78.414675 23.4810 -39644306.0922
1 40 19690723 31.639367 47.727821 3.9317 -13986636.1037
1 40 19710425 39.902436 56.461587 23.1200 41398560.4176
1 40 19711129 37.297128 60.314864 20.7508 60243058.7151
1 40 19720328 36.146550 72.643086 20.5520 70604589.0172
1 40 19720816 54.389140 73.942710 11.5088 82783194.8940
2 40 19680929 34.762382 45.139632 32.4774 -39644209.1763
